Accession,Population,Tray,Plant_ID,Treatment,rand_placement_within_tray,Placement,flow_fresh_tissue_weight,DNA_content,FLOW,Cytotype,leaf_1_chlorophyll,leaf_1_fresh_mass,leaf_1_dry_mass,leaf_1_area_cm,leaf_1_area_m,leaf_1_SLA,leaf_1_perimeter_cm,leaf_1_DMC,leaf_2_chlorophyll,leaf_2_fresh_mass,leaf_2_dry_mass,leaf_2_area_cm,leaf_2_area_m,leaf_2_SLA,leaf_2_perimeter,leaf_2_DMC,leaf_3_chlorophyll,leaf_3_fresh_mass,leaf_3_dry_mass,leaf_3_area,leaf_3_area_m,leaf_3_SLA,leaf_3_perimeter,leaf_3_DMC,avg_leaf_dry_mass,avg_chlorophyll,avg_DMC,est_flo_dry_leaf_weight,avg_SLA,leaf_curl,whorled_leaf,tick_stem,thick_leaf,Sum,aboveground_dry_mass,total_aboveground_biomass,belowground_dry_mass,total_biomass_g,root_to_shoot_raio,rhizome_weight,fine_roots_weight,Died,normalized_aboveground_mass,normalized_rhizome_mass,normalized_fine_roots_mass
Santa14-2018,Santa,10,58,H,0.560117171,11,0.069,1.114,Y,Treated Diploid,44.3,0.1328,0.0359,4.76,0.0476,1.325905292,9.37,0.270331325,51.2,0.1312,0.0372,4.92,0.0492,1.322580645,9.91,0.283536585,47.9,0.135,0.0342,4.83,0.0483,1.412280702,9.43,0.253333333,0.035766667,47.8,0.269067081,0.042564354,1.35358888,0,0,1,0,1,0.6278,0.670364354,0.2053,0.875664354,0.306251367,0.0638,0.1415,0,0.765549438,0.072858967,0.161591595
Santa5-2018,Santa,17,461,L,0.812160813,15,NA,NA,,Treated Diploid,40.5,0.0132,0.0041,0.57,0.0057,1.390243902,3.06,0.310606061,37.5,0.0158,0.0053,0.7,0.007,1.320754717,3.4,0.335443038,NA,NA,NA,NA,NA,NA,NA,NA,0.0047,39,0.32302455,0.011617982,1.35549931,0,0,0,0,0,0.0151,0.026717982,0.008,0.034717982,0.299423811,0.0016,0.0064,0,0.76957186,0.046085628,0.184342512
Santa15-2018,Santa,7,447,C,0.114960935,2,0.0616,1.042,Y,Treated Diploid,39.9,0.063,0.0196,2.61,0.0261,1.331632653,6.93,0.311111111,41.7,0.0573,0.0176,2.35,0.0235,1.335227273,6.75,0.307155323,45.5,0.0601,0.0175,2.45,0.0245,1.4,6.7,0.291181364,0.018233333,42.36666667,0.303149266,0.025652372,1.355619975,0,1,1,0,2,0.1642,0.189852372,0.0877,0.277552372,0.461937868,0.0399,0.0478,0,0.684023598,0.143756653,0.17221975
Blue1-3,Blue,19,199,L,0.094102828,4,NA,NA,,Untreated Diploid,40.7,0.0341,0.0095,1.32,0.0132,1.389473684,5.06,0.278592375,41.4,0.0313,0.0087,1.15,0.0115,1.32183908,4.65,0.277955272,NA,NA,NA,NA,NA,NA,NA,NA,0.0091,41.05,0.278273824,0.014024374,1.355656382,0,0,0,0,0,0.0594,0.073424374,0.0632,0.136624374,0.860749592,0.039,0.0242,0,0.537417826,0.28545419,0.177127984
Blue11-2018,Blue,12,348,H,0.256859485,5,0.0456,1.132,Y,Treated Diploid,46.7,0.1897,0.0486,7.11,0.0711,1.462962963,11.54,0.256193991,48,0.2248,0.0595,8.05,0.0805,1.352941176,12.57,0.264679715,48.5,0.2207,0.0596,7.5,0.075,1.258389262,12.41,0.270049841,0.0559,47.73333333,0.263641182,0.009698052,1.3580978,1,1,1,1,4,1.0699,1.079598052,0.4779,1.557498052,0.442664748,0.2271,0.2508,0,0.693161735,0.145810776,0.161027489
Blue5-2018,Blue,13,381,H,0.690432957,16,0.0393,1.141,Y,Treated Diploid,45.8,0.2123,0.048,6.64,0.0664,1.383333333,11.44,0.226095148,45,0.1883,0.0482,6.43,0.0643,1.334024896,12.59,0.255974509,NA,NA,NA,NA,NA,NA,NA,NA,0.0481,45.4,0.241034829,NA,1.358679115,0,0,1,0,1,0.7089,0.7089,0.2521,0.961,0.355621385,0.1322,0.1199,0,0.737669095,0.137565036,0.124765869
Blue1-3,Blue,10,202,H,0.258035634,6,0.0406,1.078,Y,Untreated Diploid,52.9,0.2759,0.062,8.4,0.084,1.35483871,12.84,0.224719101,50.3,0.211,0.0462,6.43,0.0643,1.391774892,11.11,0.218957346,54.2,0.2677,0.0638,8.5,0.085,1.332288401,12.9,0.238326485,0.057333333,52.46666667,0.227334311,0.015429903,1.359634001,1,1,0,1,3,0.6684,0.683829903,0.2348,0.918629903,0.343360241,0.0884,0.1464,0,0.744401963,0.096230266,0.159367771
Santa9-2018,Santa,24,68,L,0.534046053,10,NA,NA,,Treated Diploid,35.4,0.0268,0.0091,1.13,0.0113,1.241758242,4.49,0.339552239,31.6,0.0248,0.0071,1.05,0.0105,1.478873239,4.29,0.286290323,NA,NA,NA,NA,NA,NA,NA,NA,0.0081,33.5,0.312921281,0.025250233,1.360315741,0,0,0,0,0,0.0376,0.062850233,0.0347,0.097550233,0.552106147,0.0177,0.017,0,0.644285832,0.181444979,0.174269189
Blue2-1,Blue,14,214,H,0.086523316,3,0.0537,1.245,Y,Untreated Diploid,51.1,0.227,0.0568,7.41,0.0741,1.304577465,12.71,0.250220264,44.8,0.1605,0.0416,6,0.06,1.442307692,11.68,0.259190031,NA,NA,0.0551,7.36,0.0736,1.335753176,12.38,NA,0.051166667,47.95,0.254705148,0.008409643,1.360879444,0,0,0,0,0,0.8234,0.831809643,0.2067,1.038509643,0.248494354,0.0883,0.1184,0,0.800964775,0.085025691,0.114009534
Blue1-3,Blue,20,200,L,0.188692283,3,NA,NA,,Untreated Diploid,33.5,0.0158,0.0043,0.67,0.0067,1.558139535,3.42,0.272151899,NA,0.0144,0.0055,0.64,0.0064,1.163636364,3.42,0.381944444,NA,NA,NA,NA,NA,NA,NA,NA,0.0049,33.5,0.327048172,0.018565629,1.36088795,0,0,0,0,0,0.0186,0.037165629,0.014,0.051165629,0.376692131,0.0017,0.0123,0,0.726378816,0.03322543,0.240395755
