Plant_ID,above_A630,above_mg.L,above_ashed_weight_g,above_ashed_weight_mg,above_decimal_percent_phosphorus,asin_above_percent_P,above_percent_phorphorus,below_A630,below_mg.L,below_ashed_weight_g,below_ashed_weight_mg,below_decimal_percent_phosphorus,asin_below_percent_P,below_percent_phorphorus,Accession,Population,Tray,Treatment,Cytotype,avg_leaf_dry_mass,avg_chlorophyll,avg_DMC,avg_SLA,leaf_curl,whorled_leaf,tick_stem,thick_leaf,Sum,total_aboveground_biomass,belowground_dry_mass,total_biomass_g,root_to_shoot_raio,rhizome_weight,fine_roots_weight,Died,normalized_aboveground_mass,normalized_belowground_mass,normalized_rhizome_mass,normalized_fine_roots_mass,normalized_avg_leaf_dry_mass
437,0.074,0.0407458,0.025,25,0.001629832,0.001629833,0.1629832,0.105,0.055457,0.0137,13.7,0.004047956,0.004047967,0.40479562,KB2-8,Palouse,17,L,Neotetraploid,0.0147,43.35,0.315921669,0.972770399,0,1,0,0,1,0.061408665,0.0407,0.102108665,0.662772916,0.0215,0.0192,0,0.601405033,0.398594967,0.210559995,0.188034972,0.143964276
473,-0.043,0.0067463,0.0117,11.7,0.000576607,0.000576607,0.057660684,NA,NA,NA,NA,NA,NA,NA,Santa8-2018,Santa,21,L,Neotetraploid,0.004266667,35.35,0.255116457,1.687161767,1,1,1,1,4,0.016,0.0221,0.0381,1.38125,0.006,0.0161,0,0.419947507,0.580052493,0.157480315,0.422572178,0.11198601
113,-0.015,0.0209115,0.0169,16.9,0.001237367,0.001237367,0.123736686,0.177,0.0773467,0.012,12,0.006445558,0.006445603,0.644555833,Santa16-2018,Santa,21,L,Neotetraploid,0.007466667,39.26666667,0.29630633,1.341492112,0,1,1,0,2,0.04756569,0.0471,0.09466569,0.99020954,0.0234,0.0237,0,0.502459656,0.497540344,0.247185649,0.250354696,0.078874057
475,NA,NA,NA,NA,NA,NA,NA,0.145,0.074793,0.0124,12.4,0.006031694,0.006031731,0.603169355,Santa8-2018,Santa,23,L,Neotetraploid,0.006,36.8,0.339896037,1.321458744,1,1,1,1,4,0.076251976,0.032,0.108251976,0.419661256,0.0186,0.0134,0,0.704393387,0.295606613,0.171821344,0.123785269,0.05542624
476,NA,NA,NA,NA,NA,NA,NA,0.21,0.079691,0.0144,14.4,0.005534097,0.005534125,0.553409722,Santa8-2018,Santa,24,L,Neotetraploid,0.0156,34,0.352138116,1.176398926,1,0,1,0,2,0.088647454,0.0421,0.130747454,0.474914937,0.0138,0.0283,0,0.678005202,0.321994798,0.105546988,0.216447809,0.119313987
25,0.1,0.05327,0.0211,21.1,0.002524645,0.002524648,0.252464455,NA,NA,NA,NA,NA,NA,NA,Ben1-2,Benewah,1,C,Tetraploid,0.0319,51.45,0.326273726,1.106873321,0,0,0,0,0,0.1951,0.2105,0.4056,1.07893388,0.126,0.0845,0,0.481015779,0.518984221,0.310650888,0.208333333,0.078648915
26,0.12,0.062904,0.0275,27.5,0.002287418,0.00228742,0.228741818,NA,NA,NA,NA,NA,NA,NA,Ben1-2,Benewah,2,C,Tetraploid,0.033166667,42.66666667,0.346558748,1.010184351,0,1,0,0,1,0.183808088,0.1596,0.343408088,0.868296938,0.0801,0.0795,0,0.535246823,0.464753177,0.233250185,0.231502992,0.096580914
39,0.22,0.089774,0.0259,25.9,0.003466178,0.003466185,0.346617761,0.796,0.3616948,0.0241,24.1,0.015008083,0.015008646,1.500808299,Ben2-2,Benewah,7,C,Tetraploid,0.0194,50.83333333,0.322374529,1.142655619,0,0,0,0,0,0.117003206,0.1258,0.242803206,1.075184213,0.0605,0.0653,0,0.48188493,0.51811507,0.249172987,0.268942083,0.079900098
38,0.26,0.11883,0.0344,34.4,0.00345436,0.003454367,0.345436047,0.597,0.2698961,0.0297,29.7,0.009087411,0.009087536,0.908741077,Ben2-2,Benewah,6,C,Tetraploid,0.0364,45.45,0.366052559,1.145198717,0,0,0,0,0,0.2322,0.26,0.4922,1.119724376,0.0863,0.1737,0,0.471759447,0.528240553,0.17533523,0.352905323,0.073953677
37,0.238,0.108369,0.0242,24.2,0.004478058,0.004478073,0.447805785,0.511,0.2302243,0.0299,29.9,0.007699809,0.007699885,0.769980936,Ben2-2,Benewah,5,C,Tetraploid,0.032866667,49.2,0.294257391,1.113758468,0,0,0,0,0,0.124573995,0.1465,0.271073995,1.176007882,0.0484,0.0981,0,0.459557159,0.540442841,0.178549034,0.361893807,0.121246108
27,0.053,0.0553127,0.0219,21.9,0.002525694,0.002525697,0.252569406,0.394,0.1718498,0.031,31,0.005543542,0.00554357,0.554354194,Ben1-2,Benewah,3,C,Tetraploid,0.02175,35.95,0.335328164,1.173962695,0,0,0,0,0,0.1304,0.1261,0.2565,0.96702454,0.0481,0.078,0,0.508382066,0.491617934,0.187524366,0.304093567,0.084795322
13,0.082,0.0445994,0.0223,22.3,0.001999973,0.001999974,0.199997309,NA,NA,NA,NA,NA,NA,NA,CLD1-1,CDL,5,C,Tetraploid,0.0347,50.26666667,0.347048247,0.934194895,0,1,0,0,1,0.223354406,0.1959,0.419254406,0.877081422,0.0786,0.1173,0,0.532741941,0.467258059,0.187475668,0.279782391,0.082765976
15,0.191,0.0971047,0.0304,30.4,0.003194234,0.003194239,0.319423355,NA,NA,NA,NA,NA,NA,NA,CLD1-1,CDL,7,C,Tetraploid,0.030033333,51.2,0.335784901,0.972284376,0,0,0,0,0,0.21495485,0.1619,0.37685485,0.753181424,0.0501,0.1118,0,0.570391624,0.429608376,0.132942431,0.296665944,0.079694697
3,NA,NA,NA,NA,NA,NA,NA,0.386,0.1912924,0.0184,18.4,0.010396326,0.010396513,1.039632609,CLD1-6,CDL,3,C,Tetraploid,0.02885,45,0.359398496,0.967320969,0,0,0,0,0,0.178,0.1384,0.3164,0.77752809,0.066,0.0724,0,0.562579014,0.437420986,0.208596713,0.228824273,0.091182048
4,NA,NA,NA,NA,NA,NA,NA,0.366,0.1463186,0.0145,14.5,0.010090938,0.010091109,1.009093793,CLD1-6,CDL,4,C,Tetraploid,0.03535,45.9,0.406837543,0.868205301,0,0,0,0,0,0.2514,0.1268,0.3782,0.504375497,0.0616,0.0652,0,0.664727657,0.335272343,0.162876785,0.172395558,0.093469064
2,NA,NA,NA,NA,NA,NA,NA,0.537,0.2193527,0.0245,24.5,0.008953171,0.008953291,0.895317143,CLD1-6,CDL,2,C,Tetraploid,0.0402,50.33333333,0.397185588,0.796203759,0,0,0,0,0,0.261360478,0.1765,0.437860478,0.675312508,0.0981,0.0784,0,0.59690356,0.40309644,0.22404397,0.17905247,0.091810067
